54297ed2289fd6cb07000001_001	Can siRNA affect response to afatinib treatment?	On the other hand, miR-146a enhanced the inhibition of cell proliferation by drugs targeting EGFR, including both TKIs (gefitinib, erlotinib, and afatinib) and a monoclonal antibody (cetuximab)	yes
54297ed2289fd6cb07000001_002	Can siRNA affect response to afatinib treatment?	These effects were independent of the EGFR mutation status (wild type, sensitizing mutation or resistance mutation), but were less potent compared to the effects of siRNA targeting of EGFR	yes
54297ed2289fd6cb07000001_003	Can siRNA affect response to afatinib treatment?	Among the anti-EGFR agents tested, the strongest biological effect was observed when afatinib was combined with T790M-specific-siRNAs	yes
54297ed2289fd6cb07000001_004	Can siRNA affect response to afatinib treatment?	The combination of a potent, irreversible kinase inhibitor such as afatinib, with T790M-specific-siRNAs should be further investigated as a new strategy in the treatment of lung cancer containing the resistant T790M mutation.	yes
54297ed2289fd6cb07000001_005	Can siRNA affect response to afatinib treatment?	The strongest biological effect was observed when afatinib was combined with an EGFR-specific siRNA	yes
54297ed2289fd6cb07000001_006	Can siRNA affect response to afatinib treatment?	The addition of EGFR siRNA to either TKIs or cetuximab additively enhanced growth inhibition and induction of apoptosis in all five cell lines, independent of the EGFR mutation status (wild-type or sensitizing mutation or resistant mutation).	yes
54297ed2289fd6cb07000001_007	Can siRNA affect response to afatinib treatment?	The combination of a potent, irreversible kinase inhibitor such as afatinib, with EGFR-specific siRNAs should be further investigated as a new strategy in the treatment of lung cancer and other EGFR dependent cancers, including those with downstream resistance mutations.	yes
56c8318f5795f9a73e00000f_001	Can sorafenib activate AMPK?	Here, we identify sorafenib as an activator of AMP-activated protein kinase (AMPK), in a manner that involves either upstream LKB1 or CAMKK2. 	yes
56c8318f5795f9a73e00000f_002	Can sorafenib activate AMPK?	Persistent activation of AMPK by sorafenib finally led to the impairment of glucose metabolism both in MCF-7 and SKBR3 cells as well as in the highly glycolytic MDA-MB-231 cells, resulting in cell death.	yes
56c8318f5795f9a73e00000f_003	Can sorafenib activate AMPK?	Here, we identify sorafenib as an activator of AMP-activated protein kinase (AMPK), in a manner that involves either upstream LKB1 or CAMKK2	yes
56c8318f5795f9a73e00000f_004	Can sorafenib activate AMPK?	Sorafenib synergizes with metformin in NSCLC through AMPK pathway activation.	yes
56c8318f5795f9a73e00000f_005	Can sorafenib activate AMPK?	Persistent activation of AMPK by sorafenib finally led to the impairment of glucose metabolism both in MCF-7 and SKBR3 cells as well as in the highly glycolytic MDA-MB-231 cells, resulting in cell death. This previously unrecognized long-term effect of sorafenib was mediated by AMPK-dependent inhibition of the mTORC1 pathway.	yes
571f59cd0fd6f91b68000008_001	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Miller Fisher syndrome is a variant of Guillain-Barre syndrome characterized by the classic triad of ophthalmoplegia, ataxia, and areflexia	yes
571f59cd0fd6f91b68000008_002	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	We are reporting a rare case of Miller-Fisher (MFS) variant of Guillain-Barré syndrome (GBS) as the first manifestation of SLE in a 41-year-old female	yes
571f59cd0fd6f91b68000008_003	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Miller-Fisher syndrome is defined as ophthalmoplegia, ataxia and areflexia. Considered as a variant of Guillain-Barré syndrome, it differs in its clinical presentation and by anti-GQ1b antibody positivity	yes
571f59cd0fd6f91b68000008_004	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Guillain-Barré syndrome (GBS) and its variant, Miller Fisher syndrome (MFS), exist as several clinical subtypes with different neurological features and presentations	yes
571f59cd0fd6f91b68000008_005	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Using in vitro and in vivo models of the Guillain-Barré syndrome variant, Miller Fisher syndrome, we have shown previously that anti-GQ1b ganglioside antibodies target the presynaptic motor nerve terminal axon and surrounding perisynaptic Schwann cells, thereby mediating destructive injury through deposition of membrane attack complex.	yes
571f59cd0fd6f91b68000008_006	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Miller Fisher syndrome is a variant of Guillain-Barré syndrome, characterized by ophthalmoplegia, ataxia and areflexia.	yes
571f59cd0fd6f91b68000008_007	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Miller Fisher syndrome is a localized variant of Guillain-Barré syndrome, characterized by ophthalmoplegia, areflexia and ataxia.	yes
571f59cd0fd6f91b68000008_008	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Miller Fisher syndrome, a variant of Guillain-Barré syndrome, is associated with IgG antibody to GQ1b ganglioside.	yes
571f59cd0fd6f91b68000008_009	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Miller Fisher syndrome (MFS), a variant of Guillain-Barré syndrome, is a rare disorder typically characterized by a triad of ataxia, areflexia, and ophthalmoplegia, which may have a highly variable clinical presentation.	yes
571f59cd0fd6f91b68000008_010	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Miller Fisher syndrome is an acute inflammatory polyradiculoneuropathy that is generally considered a variant of Guillain-Barré syndrome and is characterized by the clinical triad of ataxia, areflexia, and ophthalmoplegia.	yes
571f59cd0fd6f91b68000008_011	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	The objective of this study was to review the occurrence and clinical features of Guillain-Barré syndrome and its variant, the Miller Fisher syndrome, during TNFalpha antagonist therapy.	yes
571f59cd0fd6f91b68000008_012	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Miller Fisher variant of Guillain-Barré syndrome masquerading as acute sphenoid sinusitis with orbital apex syndrome.	yes
571f59cd0fd6f91b68000008_013	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Controversy exists concerning whether Miller Fisher syndrome (MFS) is the result of a predominantly axonal or demyelinating polyneuropathy and whether the Guillain-Barré syndrome variant of acute ataxia and areflexia without ophthalmoplegia, ataxic Guillain-Barré syndrome (atxGBS), has a distinct pathophysiology.	yes
571f59cd0fd6f91b68000008_014	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Miller Fisher syndrome is characterised by the triad ophthalmoparesis, ataxia and areflexia and is considered to be a variant of Guillain-Barré syndrome; its differential diagnosis includes Wernicke&apos;s encephalopathy	yes
571f59cd0fd6f91b68000008_015	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Miller Fisher syndrome is an acute inflammatory polyradiculoneuropathy that is generally considered a variant of Guillain-Barré syndrome and is characterized by the clinical triad of ataxia, areflexia, and ophthalmoplegia	yes
571f59cd0fd6f91b68000008_016	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Miller-Fisher syndrome is characterised by the clinical triad of ophthalmoplegia, ataxia and areflexia and is considered a variant form of Guillain-Barré syndrome	yes
571f59cd0fd6f91b68000008_017	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	The syndrome of ataxia, areflexia and ophthalmoplegia, or Miller-Fisher syndrome, has been considered to be a variant of Guillain-Barré syndrome with pathology restricted to the peripheral nervous system	yes
571f59cd0fd6f91b68000008_018	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Miller-Fisher syndrome (MFS) is considered the most common variant of Guillain-Barré syndrome (GBS) and is characterized by the clinical triad of ophthalmoplegia, ataxia and areflexia	yes
571f59cd0fd6f91b68000008_019	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Miller Fisher syndrome (MFS), characterized as ataxia, areflexia and ophthalmoplegia, is generally considered as a variant of Guillain-Barré syndrome (GBS)	yes
571f59cd0fd6f91b68000008_020	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Miller Fisher Syndrome (MFS), which is characterized by ophthalmoplegia, ataxia and tendon areflexia, is generally considered as a clinical variant of Guillain-Barré Syndrome	yes
571f59cd0fd6f91b68000008_021	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	Miller-Fisher syndrome (MFS), a variant of Guillain-Barré syndrome (GBS) is a self-limiting demyelinating disease of the peripheral nervous system	yes
571f59cd0fd6f91b68000008_022	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	BACKGROUND: Miller-Fisher syndrome is characterised by the clinical triad of ophthalmoplegia, ataxia and areflexia and is considered a variant form of Guillain-Barré syndrome. 	yes
571f59cd0fd6f91b68000008_023	Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	BACKGROUND AND OBJECTIVE: Miller-Fisher syndrome (MFS) is considered the most common variant of Guillain-Barré syndrome (GBS) and is characterized by the clinical triad of ophthalmoplegia, ataxia and areflexia. 	yes
